Zipcode,Estimated Total,"Car, truck, or van: Drove alone","Car, truck, or van: Carpooled",Public Transportation
14141,3699,2848,509,0
14143,544,476,59,3
14145,747,673,12,0
14150,20272,17728,1520,305
14167,765,640,63,5
14168,24,24,0,0
14169,167,140,0,0
14170,1229,1186,43,0
14171,773,673,93,0
14172,1375,1199,134,0
14173,167,135,32,0
14174,2312,2229,75,1
14201,4564,2375,625,802
14202,1680,977,219,263
14203,310,180,22,10
14204,3527,1877,263,1000
14206,8826,7015,626,541
14207,8100,5534,1017,928
14208,3468,2248,252,533
14209,3424,2385,173,506
14210,5784,4140,825,334
14211,6896,4636,570,1289
14212,3592,2251,408,613
14213,7912,4839,976,1277
14214,8828,6281,824,1264
14215,14689,9840,1750,2107
14216,11559,9655,623,638
14217,11553,9468,1016,338
14218,7671,5982,1122,254
14219,5731,4905,543,125
14220,11219,9119,944,643
14221,24528,21866,1681,450
14222,8124,5581,808,769
14223,11178,9645,908,315
14224,19293,17186,1407,94
14225,16111,13926,1379,303
14226,13743,11792,964,510
14227,10793,9777,840,54
14228,9193,8032,677,147
14261,1631,732,107,134
14301,4615,3170,548,144
14303,2147,1431,267,215
14304,14032,12261,1151,190
14305,7586,6139,858,138
14411,5284,4531,536,63
14414,3614,3309,170,0
14415,67,67,0,0
14416,1735,1563,74,16
14418,482,369,41,0
14420,9184,7023,941,19
14422,1227,1063,96,12
14423,2557,2247,120,10
14424,12373,10561,1188,145
14425,4960,4358,476,21
14427,960,744,182,6
14428,4282,3986,156,26
14432,2706,2298,302,0
14433,1807,1479,211,0
14435,1545,1383,121,19
14437,4212,3427,482,20
14441,124,94,30,0
14445,3904,3111,428,16
14450,19289,17344,1321,142
14454,4231,2888,286,1
14456,8781,6621,910,97
14462,289,239,41,0
14464,3394,3037,334,6
14466,894,754,77,18
14467,4665,4033,496,0
14468,8919,7981,714,32
14469,2915,2465,330,12
14470,3350,3036,174,34
14471,1246,1111,95,0
14472,4031,3613,243,12
14475,106,99,0,0
14476,1061,999,49,0
14477,854,803,33,0
14478,561,254,21,0
14479,251,221,30,0
14480,486,486,0,0
14481,837,733,78,0
14482,3798,3346,354,0
14485,2214,2000,108,14
14486,109,109,0,0
14487,2899,2627,202,20
14489,3073,2483,311,24
14502,5105,4489,508,29
14504,794,644,121,5
14505,2551,2232,164,0
14506,598,569,29,0
14507,541,489,34,0
14510,2103,1650,306,40
14511,214,190,24,0
14512,2057,1691,197,9
14513,6378,5426,658,0
14514,2513,2274,192,12
14516,943,778,71,0
14517,1238,965,116,3
14519,5676,4960,571,39
14521,991,764,145,3
14522,4824,3979,680,14
14525,1342,1139,135,3
14526,9251,8583,519,21
14527,5718,4656,537,38
14529,20,10,0,0
14530,2300,1757,389,0
14532,2213,1842,239,28
14533,1015,870,107,0
14534,14254,13160,702,46
14536,293,230,35,0
14537,136,136,0,0
14539,116,116,0,0
14541,1183,1015,117,7
14542,23,23,0,0
14543,1662,1575,79,0
14544,1018,899,92,9
14545,97,76,21,0
14546,2459,2144,236,4
14548,2394,2045,314,12
14549,19,8,0,0
14550,782,622,112,11
14551,2412,1895,388,19
14555,520,436,48,15
14559,8620,7904,488,80
14560,761,609,137,4
14561,1532,1366,146,0
14564,6568,5977,527,8
14568,3366,3223,122,0
14569,2767,2298,317,0
14571,644,532,51,0
14572,2300,2010,219,4
14580,23244,21348,1285,249
14585,30,25,5,0
14586,4936,4247,538,3
14588,15,15,0,0
14589,3612,3129,178,64
14590,2149,1739,305,6
14591,865,719,133,3
14592,127,116,0,0
14604,493,245,26,30
14605,3660,2227,539,537
14606,11548,9508,1308,426
14607,10000,8267,580,475
14608,4063,2397,485,708
14609,17669,14764,1510,880
14610,6905,6121,465,76
14611,5397,3493,856,599
14612,17841,15982,1491,138
14613,4876,3681,405,631
14614,5,5,0,0
14615,7296,5748,894,431
14616,12247,10657,1078,159
14617,11011,9851,768,175
14618,9963,8129,1058,77
14619,6332,4286,1097,690
14620,11821,7774,1128,695
14621,10443,6989,1581,837
14622,5642,5258,264,34
14623,12020,8229,1141,593
14624,18534,16500,1592,90
14625,4682,4124,408,17
14626,12871,11742,950,23
14627,792,104,23,11
14701,16852,13586,1793,28
14706,2729,2391,251,16
14707,96,78,4,0
14708,98,94,4,0
14709,604,499,61,6
14710,1527,1354,135,0
14711,662,508,92,8
14712,1254,1106,118,21
14714,202,149,23,7
14715,1253,1021,157,1
14716,884,801,61,0
14717,293,242,45,0
14718,889,802,34,3
14719,1318,1089,113,14
14720,267,252,6,0
14721,83,71,12,0
14722,62,24,13,12
14723,499,400,59,0
14724,849,679,68,4
14726,545,284,63,12
14727,2396,1955,337,19
14728,301,275,0,0
14729,416,361,33,3
14731,632,499,44,3
14732,71,60,8,0
14733,1835,1475,209,10
14735,1015,760,151,8
14736,94,89,0,0
14737,1692,1313,213,0
14738,1730,1505,146,0
14739,968,725,194,9
14740,655,545,74,0
14741,903,789,114,0
14742,51,51,0,0
14743,684,611,70,1
14744,900,356,76,4
14747,1048,940,75,6
14748,296,226,31,0
14750,1965,1798,107,6
14752,68,58,0,0
14753,424,357,60,0
14754,287,200,80,7
14755,1342,1072,191,10
14757,1251,1045,108,2
14760,8292,6517,916,161
14767,804,557,154,13
14769,470,431,39,0
14770,1409,1287,111,2
14772,1536,1312,151,17
14774,78,47,24,0
14775,882,798,65,6
14777,254,212,34,4
14778,554,212,20,50
14779,2759,2047,425,7
14781,892,702,82,3
14782,1118,974,88,0
14783,171,117,34,0
14784,335,320,7,0
14787,1844,1671,49,0
14788,27,27,0,0
14801,2173,1806,243,3
14802,1836,370,62,0
14803,469,385,55,0
14804,623,533,59,5
14805,398,341,41,16
14806,919,815,77,0
14807,1256,1062,150,3
14808,271,239,18,0
14809,911,822,51,10
14810,4985,4131,438,65
14812,1445,1173,227,0
14813,952,802,112,6
14814,1113,1033,80,0
14815,409,350,50,3
14816,267,250,5,3
14817,1266,893,333,20
14818,753,737,9,7
14819,278,235,29,0
14820,290,261,27,0
14821,1371,1198,126,0
14822,489,429,28,4
14823,1441,1152,247,20
14824,367,308,50,4
14825,476,448,23,5
14826,964,811,106,3
14830,8900,7541,832,55
14836,458,400,48,0
14837,2093,1577,352,23
14838,694,613,74,4
14839,304,244,31,0
14840,1265,1077,120,0
14841,528,413,96,0
14842,397,279,84,0
14843,5259,4176,570,72
14845,9762,8773,667,59
14846,276,208,50,5
14847,1053,810,148,35
14850,28012,14494,3228,2766
14853,923,185,69,19
14855,313,282,8,0
14856,31,0,11,0
14858,609,565,26,0
14859,489,376,103,6
14860,405,304,84,0
14861,570,488,75,0
14864,553,500,41,0
14865,1018,903,69,6
14867,2201,1767,379,25
14869,602,510,79,11
14870,3932,3303,506,2
14871,2108,1862,148,45
14872,332,327,0,0
14873,994,795,110,13
14874,156,117,39,0
14877,210,147,44,0
14878,216,209,7,0
14879,985,893,63,5
14880,689,601,46,3
14882,1921,1688,151,25
14883,2337,1867,301,35
14884,117,102,6,0
14885,403,323,43,0
14886,3119,2318,403,167
14889,622,519,73,5
14891,2032,1702,143,40
14892,3344,2749,438,30
14893,6,6,0,0
14894,579,489,85,3
14895,3862,3098,445,52
14897,377,313,51,1
14898,689,477,90,0
14901,4930,3738,382,134
14903,3247,2681,281,103
14904,6747,5749,535,68
14905,4238,3490,197,214
