Zipcode,Total; Estimate; Workers 16 years and over,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over",Public transportation (excluding taxicab); Estimate; Workers 16 years and over,Total; Estimate; Workers 16 years and over who did not work at home,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over who did not work at home",Public transportation (excluding taxicab); Estimate; Workers 16 years and over who did not work at home
6390,156,130,0,0,150,130,0,0
10001,12321,589,223,6090,11442,589,223,6090
10002,34909,2516,1457,19077,33546,2516,1457,19077
10003,32790,1320,218,18884,29696,1320,218,18884
10004,1883,124,12,898,1735,124,12,898
10005,3729,165,0,2312,3586,165,0,2312
10006,2067,35,26,1204,1917,35,26,1204
10007,3356,136,26,2009,3144,136,26,2009
10009,32604,1778,269,18847,30778,1778,269,18847
10010,16824,971,375,8730,15894,971,375,8730
10011,33199,1972,264,17505,31053,1972,264,17505
10012,15536,903,103,8008,14054,903,103,8008
10013,13504,652,299,6545,12105,652,299,6545
10014,21137,1009,387,11196,19265,1009,387,11196
10016,36133,2008,391,14810,34336,2008,391,14810
10017,11136,333,242,3480,10278,333,242,3480
10018,3397,137,75,1436,3224,137,75,1436
10019,26093,1402,305,11382,24800,1402,305,11382
10020,0,0,0,0,0,0,0,0
10021,24211,2173,699,11505,21994,2173,699,11505
10022,17492,1485,218,6706,16248,1485,218,6706
10023,34099,2336,374,20153,31134,2336,374,20153
10024,34359,2382,401,23032,31704,2382,401,23032
10025,47107,2864,603,31434,42784,2864,603,31434
10026,15616,1250,304,11243,14513,1250,304,11243
10027,24248,1830,332,15201,22566,1830,332,15201
10028,27521,2270,569,16575,25986,2270,569,16575
10029,30893,2063,446,21407,30043,2063,446,21407
10030,11847,1199,492,8228,11208,1199,492,8228
10031,27311,1750,829,20693,25912,1750,829,20693
10032,26816,2402,964,17515,25241,2402,964,17515
10033,26461,2449,1522,16593,24756,2449,1522,16593
10034,19497,2091,1252,12865,18628,2091,1252,12865
10035,11814,795,204,8710,11282,795,204,8710
10036,14514,609,91,6577,13540,609,91,6577
10037,7241,894,117,5051,7086,894,117,5051
10038,10068,498,24,5329,9683,498,24,5329
10039,9049,791,346,6651,8691,791,346,6651
10040,18285,1735,1007,12719,17689,1735,1007,12719
10044,5097,289,66,3850,4904,289,66,3850
10065,18852,996,294,7677,17320,996,294,7677
10069,3010,316,152,1544,2809,316,152,1544
10075,14465,1028,259,8689,13178,1028,259,8689
10103,0,0,0,0,0,0,0,0
10110,3,0,0,1,2,0,0,1
10111,0,0,0,0,0,0,0,0
10112,0,0,0,0,0,0,0,0
10115,0,0,0,0,0,0,0,0
10119,0,0,0,0,0,0,0,0
10128,34470,2829,633,22839,32401,2829,633,22839
10152,0,0,0,0,0,0,0,0
10153,0,0,0,0,0,0,0,0
10154,0,0,0,0,0,0,0,0
10162,789,88,0,317,753,88,0,317
10165,0,0,0,0,0,0,0,0
10167,0,0,0,0,0,0,0,0
10168,0,0,0,0,0,0,0,0
10169,0,0,0,0,0,0,0,0
10170,0,0,0,0,0,0,0,0
10171,0,0,0,0,0,0,0,0
10172,0,0,0,0,0,0,0,0
10173,0,0,0,0,0,0,0,0
10174,0,0,0,0,0,0,0,0
10177,0,0,0,0,0,0,0,0
10199,0,0,0,0,0,0,0,0
10271,0,0,0,0,0,0,0,0
10278,0,0,0,0,0,0,0,0
10279,0,0,0,0,0,0,0,0
10280,5228,372,0,2551,4980,372,0,2551
10282,2478,176,0,1520,2392,176,0,1520
10301,16757,6890,1163,6551,16021,6890,1163,6551
10302,6810,3575,341,2298,6743,3575,341,2298
10303,10010,5003,776,3598,9810,5003,776,3598
10304,17857,7901,1053,7689,17455,7901,1053,7689
10305,16906,8159,1770,5843,16566,8159,1770,5843
10306,24765,13604,2038,7744,24307,13604,2038,7744
10307,6402,4596,457,1090,6256,4596,457,1090
10308,13103,7941,1531,3253,12860,7941,1531,3253
10309,13943,8822,1234,3319,13589,8822,1234,3319
10310,10236,5054,877,3535,9992,5054,877,3535
10311,0,0,0,0,0,0,0,0
10312,28091,18060,2768,6322,27516,18060,2768,6322
10314,38283,22232,3877,10273,37527,22232,3877,10273
10451,15313,1995,521,10087,14784,1995,521,10087
10452,27830,4139,1463,18122,26869,4139,1463,18122
10453,28008,4175,2073,17664,27178,4175,2073,17664
10454,12543,1723,401,8183,12166,1723,401,8183
10455,12334,2387,319,8137,11974,2387,319,8137
10456,29436,3829,860,19911,27809,3829,860,19911
10457,23068,3473,1382,14254,22041,3473,1382,14254
10458,26731,3781,1213,16436,25455,3781,1213,16436
10459,14776,2612,536,9747,14157,2612,536,9747
10460,19961,3961,838,12528,19219,3961,838,12528
10461,22034,7983,1887,9468,21668,7983,1887,9468
10462,32387,7661,1666,19691,31980,7661,1666,19691
10463,29736,7258,2375,16329,28807,7258,2375,16329
10464,2427,1577,142,475,2368,1577,142,475
10465,19088,10662,1866,5419,18675,10662,1866,5419
10466,30430,10215,1799,15669,29991,10215,1799,15669
10467,38253,9000,1440,23091,37144,9000,1440,23091
10468,28909,3621,1220,19735,27976,3621,1220,19735
10469,29466,12162,2411,13353,28988,12162,2411,13353
10470,6908,2819,372,2987,6687,2819,372,2987
10471,10109,4171,751,3943,9558,4171,751,3943
10472,24628,4552,1015,16278,23676,4552,1015,16278
10473,22531,7449,2229,11351,22252,7449,2229,11351
10474,3646,544,144,2211,3404,544,144,2211
10475,17435,6168,1087,8505,17215,6168,1087,8505
10501,558,410,34,52,518,410,34,52
10502,2535,1567,290,346,2309,1567,290,346
10503,107,47,0,38,85,47,0,38
10504,3436,2237,163,546,2960,2237,163,546
10505,330,178,96,25,299,178,96,25
10506,2321,1481,164,363,2114,1481,164,363
10507,2628,1582,159,583,2516,1582,159,583
10509,10219,7775,944,820,9806,7775,944,820
10510,4597,2432,318,1057,4102,2432,318,1057
10511,1220,909,217,49,1178,909,217,49
10512,12153,9361,971,1085,11517,9361,971,1085
10514,5369,2741,165,1706,4779,2741,165,1706
10516,2465,1553,131,406,2233,1553,131,406
10517,269,171,73,8,252,171,73,8
10518,663,477,11,101,630,477,11,101
10519,77,51,0,24,76,51,0,24
10520,6357,3944,462,1519,6149,3944,462,1519
10522,5154,2936,314,1081,4684,2936,314,1081
10523,3888,2675,393,483,3756,2675,393,483
10524,2144,1163,217,440,1893,1163,217,440
10526,1057,713,50,124,905,713,50,124
10527,533,469,9,18,505,469,9,18
10528,6314,4084,267,1530,6117,4084,267,1530
10530,6019,3887,254,1473,5791,3887,254,1473
10532,2528,1988,124,371,2483,1988,124,371
10533,3305,1849,84,919,2906,1849,84,919
10535,436,341,13,0,422,341,13,0
10536,4226,2787,98,774,3851,2787,98,774
10537,1114,855,88,116,1068,855,88,116
10538,7551,3165,425,2899,6966,3165,425,2899
10541,13754,11328,1054,607,13351,11328,1054,607
10543,9377,5808,334,2124,8915,5808,334,2124
10545,40,10,0,0,31,10,0,0
10546,733,515,54,116,685,515,54,116
10547,3608,2765,385,237,3474,2765,385,237
10548,1532,1160,92,257,1509,1160,92,257
10549,7591,4579,655,985,7093,4579,655,985
10550,15796,9346,1196,2825,15499,9346,1196,2825
10552,10247,6548,532,2271,9744,6548,532,2271
10553,4856,3258,262,734,4657,3258,262,734
10560,2300,1686,91,202,2092,1686,91,202
10562,15726,10201,1887,2011,15098,10201,1887,2011
10566,11838,7136,1806,1685,11524,7136,1806,1685
10567,9136,6540,811,1251,8728,6540,811,1251
10570,6140,3953,203,1269,5830,3953,203,1269
10573,19266,11051,1002,3384,18841,11051,1002,3384
10576,2367,1468,156,342,2083,1468,156,342
10577,1821,750,124,258,1752,750,124,258
10578,224,142,0,82,224,142,0,82
10579,4208,3326,390,192,4034,3326,390,192
10580,6400,3377,167,2071,5883,3377,167,2071
10583,16893,8936,877,5141,15226,8936,877,5141
10588,874,810,51,0,861,810,51,0
10589,3235,2427,286,316,3093,2427,286,316
10590,3172,2242,270,357,2922,2242,270,357
10591,11403,6280,1253,2136,10920,6280,1253,2136
10594,2466,1861,172,187,2382,1861,172,187
10595,2669,1955,206,362,2578,1955,206,362
10596,413,330,26,0,413,330,26,0
10597,374,235,23,78,336,235,23,78
10598,13166,10206,1272,887,12568,10206,1272,887
10601,5474,2823,241,1209,5328,2823,241,1209
10603,9897,6415,968,1543,9585,6415,968,1543
10604,5948,3944,285,882,5819,3944,285,882
10605,9469,6048,518,1509,8804,6048,518,1509
10606,7751,3570,503,1884,7012,3570,503,1884
10607,3822,2586,280,778,3730,2586,280,778
10701,28376,13672,2934,8675,27908,13672,2934,8675
10703,8454,5261,914,1541,8392,5261,914,1541
10704,14187,9053,1421,2751,13884,9053,1421,2751
10705,17125,8517,1886,5142,16680,8517,1886,5142
10706,4410,2536,194,1216,4027,2536,194,1216
10707,5019,2760,175,1392,4755,2760,175,1392
10708,10563,5311,630,3546,10073,5311,630,3546
10709,4355,3227,228,631,4097,3227,228,631
10710,12358,8699,1255,1988,12152,8699,1255,1988
10801,18687,9691,1733,3133,17616,9691,1733,3133
10803,5824,3380,470,1445,5475,3380,470,1445
10804,6795,4006,271,1776,6215,4006,271,1776
10805,8632,5502,535,1571,8431,5502,535,1571
10901,11502,8360,1133,1044,10916,8360,1133,1044
10910,0,0,0,0,0,0,0,0
10911,0,0,0,0,0,0,0,0
10913,2383,1753,373,84,2253,1753,373,84
10914,125,109,0,0,125,109,0,0
10915,85,19,53,0,85,19,53,0
10916,2214,1651,177,248,2090,1651,177,248
10917,1129,767,186,51,1095,767,186,51
10918,5680,4407,497,275,5349,4407,497,275
10919,558,491,17,13,521,491,17,13
10920,4140,3569,239,189,4016,3569,239,189
10921,2096,1455,236,86,1973,1455,236,86
10922,530,413,64,53,530,413,64,53
10923,4353,3587,365,265,4276,3587,365,265
10924,5551,4133,586,238,5024,4133,586,238
10925,2108,1566,269,96,1931,1566,269,96
10926,1879,1313,210,140,1777,1313,210,140
10927,5227,3186,548,935,5132,3186,548,935
10928,1804,1413,72,47,1780,1413,72,47
10930,4266,3342,324,365,4081,3342,324,365
10931,554,408,104,22,554,408,104,22
10932,71,47,24,0,71,47,24,0
10933,16,16,0,0,16,16,0,0
10940,22810,15733,3666,992,22106,15733,3666,992
10941,6884,5386,777,260,6675,5386,777,260
10950,17336,11165,2355,1687,16658,11165,2355,1687
10952,12403,7323,1966,1048,11682,7323,1966,1048
10953,73,73,0,0,73,73,0,0
10954,10995,8687,1046,716,10649,8687,1046,716
10956,14797,11531,1155,968,13979,11531,1155,968
10958,1556,1098,191,50,1370,1098,191,50
10960,7955,5235,583,842,7380,5235,583,842
10962,2063,1505,167,197,1962,1505,167,197
10963,1027,861,123,12,1023,861,123,12
10964,606,410,50,17,494,410,50,17
10965,6749,5212,295,541,6350,5212,295,541
10968,1134,902,0,72,985,902,0,72
10969,991,510,31,50,949,510,31,50
10970,4961,3960,453,289,4758,3960,453,289
10973,1028,923,46,0,969,923,46,0
10974,1577,1272,149,91,1515,1272,149,91
10975,268,225,26,4,255,225,26,4
10976,862,634,50,28,810,634,50,28
10977,24468,14293,3332,3600,23901,14293,3332,3600
10979,121,91,30,0,121,91,30,0
10980,6532,5476,485,209,6282,5476,485,209
10983,2700,2274,138,89,2524,2274,138,89
10984,1679,1268,219,93,1597,1268,219,93
10985,39,0,39,0,39,0,39,0
10986,1023,939,64,0,1003,939,64,0
10987,1632,1047,76,286,1439,1047,76,286
10988,378,302,11,5,327,302,11,5
10989,4866,3570,599,370,4654,3570,599,370
10990,9724,8000,698,385,9293,8000,698,385
10992,4998,3844,641,226,4780,3844,641,226
10993,2066,1628,219,121,2066,1628,219,121
10994,3282,2718,286,134,3216,2718,286,134
10996,4583,745,126,11,2830,745,126,11
10998,1523,1163,234,49,1467,1163,234,49
11001,13571,8821,726,3013,13081,8821,726,3013
11003,21471,14344,1864,4155,21156,14344,1864,4155
11004,6780,3851,627,1687,6615,3851,627,1687
11005,462,332,68,0,410,332,68,0
11010,11409,9084,642,1193,11275,9084,642,1193
11020,2732,1785,203,483,2609,1785,203,483
11021,8493,4939,396,2203,7974,4939,396,2203
11023,3584,2021,312,882,3351,2021,312,882
11024,3132,1831,214,667,2906,1831,214,667
11030,7109,4004,298,2137,6681,4004,298,2137
11040,18119,12616,1346,3174,17541,12616,1346,3174
11042,0,0,0,0,0,0,0,0
11050,13977,8286,660,3430,13224,8286,660,3430
11096,3777,2460,287,681,3734,2460,287,681
11101,10700,1664,330,7664,10374,1664,330,7664
11102,17553,2753,547,11951,17103,2753,547,11951
11103,20718,3230,751,14104,20034,3230,751,14104
11104,14909,1632,631,10794,14589,1632,631,10794
11105,19817,3838,748,12922,19162,3838,748,12922
11106,18410,2776,737,12396,17858,2776,737,12396
11109,1998,347,51,1468,1884,347,51,1468
11201,27917,2167,613,18375,25483,2167,613,18375
11203,35287,8618,1575,22042,34663,8618,1575,22042
11204,30609,6534,2349,16150,29681,6534,2349,16150
11205,16330,1801,374,9934,15076,1801,374,9934
11206,29079,3386,1046,18858,27294,3386,1046,18858
11207,32886,6768,1450,21589,32326,6768,1450,21589
11208,34882,7345,1506,24002,34435,7345,1506,24002
11209,33153,8078,2213,18588,32182,8078,2213,18588
11210,27956,9557,1293,14579,26960,9557,1293,14579
11211,40532,3990,1310,23984,37746,3990,1310,23984
11212,28009,5406,713,19497,27487,5406,713,19497
11213,23753,3349,623,16509,23078,3349,623,16509
11214,31719,6093,2652,19436,30693,6093,2652,19436
11215,39404,3821,817,27319,36261,3821,817,27319
11216,24714,3427,547,17682,23568,3427,547,17682
11217,22403,1418,361,16060,20553,1418,361,16060
11218,33161,5214,2030,20563,31897,5214,2030,20563
11219,33146,6412,2996,14713,31702,6412,2996,14713
11220,43519,6181,3494,25474,42341,6181,3494,25474
11221,30297,4770,706,20748,29327,4770,706,20748
11222,20338,2379,622,12873,18799,2379,622,12873
11223,27664,6232,2497,15353,27002,6232,2497,15353
11224,15299,2923,1003,9285,14929,2923,1003,9285
11225,27013,4366,528,18724,25826,4366,528,18724
11226,45454,6629,1257,33230,44325,6629,1257,33230
11228,17696,5263,1943,8569,17080,5263,1943,8569
11229,33097,9395,2374,17243,32096,9395,2374,17243
11230,33201,8545,1843,17891,31896,8545,1843,17891
11231,18589,1921,413,11481,16885,1921,413,11481
11232,11741,1446,526,7617,11385,1446,526,7617
11233,25475,6018,783,16931,24979,6018,783,16931
11234,43372,18968,3188,18002,42194,18968,3188,18002
11235,30529,7464,2484,15163,29123,7464,2484,15163
11236,44537,15840,3133,22947,43863,15840,3133,22947
11237,23071,2163,898,14821,22191,2163,898,14821
11238,28082,2837,566,20754,26577,2837,566,20754
11239,4092,992,204,2577,4076,992,204,2577
11351,0,0,0,0,0,0,0,0
11354,25144,7593,3457,10719,24520,7593,3457,10719
11355,38464,8964,4387,19269,37590,8964,4387,19269
11356,10359,4552,780,3775,10033,4552,780,3775
11357,17532,10604,1472,4543,17098,10604,1472,4543
11358,17739,8426,2366,5924,17402,8426,2366,5924
11359,0,0,0,0,0,0,0,0
11360,9402,5566,783,2479,9203,5566,783,2479
11361,13797,7120,1161,4617,13403,7120,1161,4617
11362,8234,4882,933,1862,7951,4882,933,1862
11363,3574,2055,362,989,3506,2055,362,989
11364,16447,8797,1909,4546,15931,8797,1909,4546
11365,17595,8050,2004,6438,17161,8050,2004,6438
11366,6534,2804,609,2785,6368,2804,609,2785
11367,15889,6450,977,6968,15297,6450,977,6968
11368,50271,8133,3609,31890,49094,8133,3609,31890
11369,18624,4843,1437,10105,18083,4843,1437,10105
11370,12974,3863,682,6886,12747,3863,682,6886
11371,0,0,0,0,0,0,0,0
11372,32964,4238,1199,23786,32164,4238,1199,23786
11373,46112,6360,2153,33535,45340,6360,2153,33535
11374,21108,4803,1476,12470,20505,4803,1476,12470
11375,35050,7653,1934,21288,33451,7653,1934,21288
11377,43838,7151,2130,30653,43216,7151,2130,30653
11378,15773,6381,1368,6529,15432,6381,1368,6529
11379,16298,7539,981,6689,16080,7539,981,6689
11385,44789,11788,2209,26438,44173,11788,2209,26438
11411,9992,5021,626,3688,9667,5021,626,3688
11412,17243,7728,846,7815,16966,7728,846,7815
11413,18775,9225,1519,7222,18376,9225,1519,7222
11414,12348,7125,1333,3214,12171,7125,1333,3214
11415,9384,2740,808,4885,9137,2740,808,4885
11416,10315,2902,579,5613,9932,2902,579,5613
11417,13287,5144,815,6209,12874,5144,815,6209
11418,17019,4580,1225,8994,16508,4580,1225,8994
11419,22389,6735,1636,11834,21773,6735,1636,11834
11420,21923,8394,2229,10355,21558,8394,2229,10355
11421,17791,5555,1166,9533,17183,5555,1166,9533
11422,15591,7785,927,5830,15114,7785,927,5830
11423,14030,4819,1501,6774,13766,4819,1501,6774
11424,0,0,0,0,0,0,0,0
11425,0,0,0,0,0,0,0,0
11426,9017,5714,651,2193,8723,5714,651,2193
11427,11838,6439,973,3862,11693,6439,973,3862
11428,10624,5102,1359,3554,10502,5102,1359,3554
11429,13241,6101,760,5470,12828,6101,760,5470
11430,31,0,0,31,31,0,0,31
11432,25894,7139,1285,14272,25155,7139,1285,14272
11433,11174,4002,824,5378,11026,4002,824,5378
11434,26203,11461,1415,11617,25648,11461,1415,11617
11435,24243,7182,885,14421,23839,7182,885,14421
11436,7290,3353,621,2926,7193,3353,621,2926
11451,0,0,0,0,0,0,0,0
11501,10306,7017,636,1846,10172,7017,636,1846
11507,3217,2123,275,538,3001,2123,275,538
11509,1079,603,56,249,971,603,56,249
11510,16132,11481,1090,2525,15677,11481,1090,2525
11514,2516,1828,170,254,2376,1828,170,254
11516,2716,1898,169,380,2606,1898,169,380
11518,5381,3709,254,1004,5195,3709,254,1004
11520,21231,13701,2395,3608,20966,13701,2395,3608
11530,11839,7946,615,2367,11278,7946,615,2367
11542,13050,9215,1138,979,12430,9215,1138,979
11545,5528,3927,279,715,5117,3927,279,715
11547,265,211,20,17,265,211,20,17
11548,988,452,127,70,887,452,127,70
11549,1101,237,27,33,988,237,27,33
11550,26415,14291,3530,6069,25970,14291,3530,6069
11552,11086,7715,1026,1728,10773,7715,1026,1728
11553,12674,8539,1598,1754,12435,8539,1598,1754
11554,17366,12938,1515,1732,16625,12938,1515,1732
11556,0,0,0,0,0,0,0,0
11557,3544,2589,230,454,3409,2589,230,454
11558,4202,2776,464,812,4090,2776,464,812
11559,3170,2150,208,607,3072,2150,208,607
11560,3000,2054,120,486,2761,2054,120,486
11561,20182,12297,1655,3960,19261,12297,1655,3960
11563,10759,7644,439,2045,10487,7644,439,2045
11565,4532,3310,281,788,4392,3310,281,788
11566,16885,12269,1105,2806,16343,12269,1105,2806
11568,1727,1078,173,142,1604,1078,173,142
11569,827,493,80,147,789,493,80,147
11570,12745,7928,820,3113,12253,7928,820,3113
11572,13960,9981,902,2108,13381,9981,902,2108
11575,7070,4367,1046,1190,6910,4367,1046,1190
11576,5420,3881,368,698,5007,3881,368,698
11577,5435,4036,254,802,5225,4036,254,802
11579,2717,1674,161,380,2440,1674,161,380
11580,19530,13665,1627,3293,19270,13665,1627,3293
11581,9213,6248,503,1749,8912,6248,503,1749
11590,21663,15957,1630,2701,20900,15957,1630,2701
11596,5061,3711,403,632,4927,3711,403,632
11598,5950,3741,246,1343,5616,3741,246,1343
11691,21371,7250,1634,9455,20871,7250,1634,9455
11692,6476,2420,428,2872,6378,2420,428,2872
11693,4485,1997,339,1701,4299,1997,339,1701
11694,9190,4678,964,2526,8768,4678,964,2526
11697,1595,960,173,344,1568,960,173,344
11701,12602,8891,1628,1265,12402,8891,1628,1265
11702,7957,6042,350,888,7550,6042,350,888
11703,8091,6363,600,748,7813,6363,600,748
11704,19791,16487,1155,1384,19429,16487,1155,1384
11705,3806,3079,311,227,3666,3079,311,227
11706,31414,23983,3102,2068,30496,23983,3102,2068
11709,3180,2524,154,283,3027,2524,154,283
11710,16871,12482,993,2226,16250,12482,993,2226
11713,4918,3894,356,361,4737,3894,356,361
11714,10636,8238,622,1425,10345,8238,622,1425
11715,2414,2017,229,78,2336,2017,229,78
11716,5229,4378,409,248,5103,4378,409,248
11717,27342,18933,4654,1726,26886,18933,4654,1726
11718,1577,1213,77,164,1519,1213,77,164
11719,1173,949,83,81,1121,949,83,81
11720,15745,13386,1385,471,15389,13386,1385,471
11721,3040,2212,143,345,2726,2212,143,345
11722,17459,12785,2833,676,17253,12785,2833,676
11724,1361,967,20,183,1208,967,20,183
11725,13197,10637,906,1002,12642,10637,906,1002
11726,9318,6320,1364,792,9015,6320,1364,792
11727,15658,13291,1353,650,15385,13291,1353,650
11729,13786,10760,1028,1158,13167,10760,1028,1158
11730,6635,5450,398,341,6262,5450,398,341
11731,14170,11441,685,1185,13615,11441,685,1185
11732,1562,1280,54,157,1496,1280,54,157
11733,8608,6735,544,524,8134,6735,544,524
11735,16068,12152,1241,1599,15521,12152,1241,1599
11738,8911,7103,907,380,8608,7103,907,380
11739,925,774,91,45,910,774,91,45
11740,3976,2702,350,526,3679,2702,350,526
11741,14211,11870,1099,724,13810,11870,1099,724
11742,6364,5207,615,294,6147,5207,615,294
11743,20807,16065,575,2337,19410,16065,575,2337
11746,32844,25139,2053,3116,31125,25139,2053,3116
11747,8550,6714,411,892,8096,6714,411,892
11749,1817,1467,165,121,1776,1467,165,121
11751,6884,5484,420,605,6689,5484,420,605
11752,5087,3995,544,232,4952,3995,544,232
11753,5680,3909,425,994,5376,3909,425,994
11754,8823,7396,357,684,8641,7396,357,684
11755,5944,4913,354,339,5683,4913,354,339
11756,22150,17664,1486,2202,21593,17664,1486,2202
11757,22648,17844,1701,1714,21817,17844,1701,1714
11758,26356,20037,1553,3616,25601,20037,1553,3616
11762,10245,7915,646,1341,10060,7915,646,1341
11763,14271,11561,1580,592,13946,11561,1580,592
11764,6441,5309,489,331,6200,5309,489,331
11765,254,184,11,23,218,184,11,23
11766,5308,4289,475,313,5077,4289,475,313
11767,6858,6134,292,265,6739,6134,292,265
11768,9880,7339,654,982,9138,7339,654,982
11769,4161,3420,184,366,4051,3420,184,366
11770,123,36,0,16,123,36,0,16
11771,4471,3452,149,198,4154,3452,149,198
11772,21376,17995,1346,1039,20942,17995,1346,1039
11776,11259,9480,962,467,11070,9480,962,467
11777,4416,3494,463,132,4202,3494,463,132
11778,6111,5158,581,121,5912,5158,581,121
11779,18978,16090,1534,816,18638,16090,1534,816
11780,6413,5128,355,350,6012,5128,355,350
11782,7074,6163,280,253,6838,6163,280,253
11783,10529,8247,734,1144,10303,8247,734,1144
11784,12562,10401,1184,462,12214,10401,1184,462
11786,3086,2611,239,52,2931,2611,239,52
11787,17063,14072,1148,876,16315,14072,1148,876
11788,7934,6468,570,429,7585,6468,570,429
11789,3971,3434,182,190,3892,3434,182,190
11790,7802,5669,506,441,7362,5669,506,441
11791,11566,7853,814,2020,10938,7853,814,2020
11792,4501,4035,250,58,4373,4035,250,58
11793,16035,12673,893,1725,15527,12673,893,1725
11794,868,157,71,129,803,157,71,129
11795,12135,9976,714,831,11679,9976,714,831
11796,1700,1441,85,132,1682,1441,85,132
11797,3732,2686,208,512,3465,2686,208,512
11798,6091,4435,653,757,5919,4435,653,757
11801,18992,14433,1479,1991,18437,14433,1479,1991
11803,13622,9847,989,1837,12902,9847,989,1837
11804,2280,1692,87,360,2170,1692,87,360
11901,11255,8600,1446,469,11049,8600,1446,469
11930,545,346,34,20,455,346,34,20
11931,31,16,0,0,16,16,0,0
11932,361,272,6,43,335,272,6,43
11933,3012,2461,261,36,2887,2461,261,36
11934,3670,3159,308,59,3557,3159,308,59
11935,1451,1281,95,31,1432,1281,95,31
11937,7583,5535,782,306,6926,5535,782,306
11939,539,382,98,0,492,382,98,0
11940,2358,1825,334,77,2276,1825,334,77
11941,696,488,92,10,634,488,92,10
11942,2199,1866,235,47,2163,1866,235,47
11944,1645,1021,96,138,1591,1021,96,138
11946,7101,5515,740,233,6836,5515,740,233
11947,30,30,0,0,30,30,0,0
11948,381,279,65,20,381,279,65,20
11949,6578,5679,676,53,6485,5679,676,53
11950,7731,6375,842,146,7699,6375,842,146
11951,6478,5101,812,314,6383,5101,812,314
11952,2181,1858,99,94,2068,1858,99,94
11953,5937,5318,330,169,5863,5318,330,169
11954,1634,999,199,205,1572,999,199,205
11955,1745,1405,222,0,1677,1405,222,0
11956,122,90,0,0,90,90,0,0
11957,290,206,22,22,254,206,22,22
11958,210,119,18,0,137,119,18,0
11959,325,244,7,35,286,244,7,35
11960,469,413,0,15,460,413,0,15
11961,4745,3883,495,188,4599,3883,495,188
11962,109,60,0,3,86,60,0,3
11963,3355,2484,252,250,3085,2484,252,250
11964,880,551,45,79,838,551,45,79
11965,290,188,13,66,270,188,13,66
11967,13309,11575,1022,277,13017,11575,1022,277
11968,5737,3986,577,390,5263,3986,577,390
11970,546,490,40,16,546,490,40,16
11971,2557,2037,233,27,2333,2037,233,27
11972,402,361,14,0,382,361,14,0
11973,0,0,0,0,0,0,0,0
11975,98,69,3,10,86,69,3,10
11976,874,500,124,100,799,500,124,100
11977,1238,979,47,12,1124,979,47,12
11978,1331,1005,100,67,1218,1005,100,67
11980,2162,1913,164,35,2119,1913,164,35
12007,36,36,0,0,36,36,0,0
12008,151,140,0,0,151,140,0,0
12009,3712,3085,309,61,3519,3085,309,61
12010,12839,10152,1532,192,12505,10152,1532,192
12015,1471,1236,142,10,1441,1236,142,10
12017,209,160,13,0,191,160,13,0
12018,4084,3406,365,57,3925,3406,365,57
12019,7817,6593,640,100,7400,6593,640,100
12020,15815,13148,1444,225,15341,13148,1444,225
12022,390,283,46,0,368,283,46,0
12023,1186,933,124,0,1093,933,124,0
12024,13,13,0,0,13,13,0,0
12025,2758,2271,238,23,2589,2271,238,23
12027,1771,1489,95,25,1714,1489,95,25
12028,588,563,0,0,563,563,0,0
12029,568,425,41,3,496,425,41,3
12031,59,49,6,0,55,49,6,0
12032,378,344,12,0,366,344,12,0
12033,3973,3372,297,12,3833,3372,297,12
12035,303,222,56,0,294,222,56,0
12036,71,66,5,0,71,66,5,0
12037,2052,1633,150,27,1935,1633,150,27
12040,39,29,5,0,34,29,5,0
12041,237,202,26,0,237,202,26,0
12042,229,229,0,0,229,229,0,0
12043,3617,2513,254,139,3433,2513,254,139
12045,298,261,3,0,298,261,3,0
12046,486,392,70,0,472,392,70,0
12047,9742,8002,1057,134,9481,8002,1057,134
12051,2306,1945,205,0,2256,1945,205,0
12052,772,624,116,2,754,624,116,2
12053,2353,2042,157,20,2252,2042,157,20
12054,8740,7277,667,200,8289,7277,667,200
12056,1023,820,95,0,968,820,95,0
12057,1032,805,123,5,945,805,123,5
12058,651,502,77,0,634,502,77,0
12059,862,745,84,9,838,745,84,9
12060,689,511,65,33,624,511,65,33
12061,5034,4336,423,64,4876,4336,423,64
12062,809,634,67,0,716,634,67,0
12063,236,209,14,13,236,209,14,13
12064,253,166,27,7,240,166,27,7
12065,21469,18594,1486,122,20446,18594,1486,122
12066,1325,1022,175,0,1226,1022,175,0
12067,642,545,63,0,626,545,63,0
12068,1539,1362,49,0,1478,1362,49,0
12069,115,98,13,0,111,98,13,0
12070,817,679,76,0,814,679,76,0
12071,97,74,18,0,92,74,18,0
12072,1247,918,95,19,1108,918,95,19
12074,1485,1292,133,0,1450,1292,133,0
12075,1446,1149,125,62,1347,1149,125,62
12076,661,515,90,9,620,515,90,9
12077,2807,2360,106,99,2734,2360,106,99
12078,9611,7806,1024,67,9191,7806,1024,67
12083,1671,1317,195,0,1583,1317,195,0
12084,2593,2213,161,52,2436,2213,161,52
12085,203,174,0,0,203,174,0,0
12086,633,500,63,32,602,500,63,32
12087,570,514,34,0,563,514,34,0
12089,34,34,0,0,34,34,0,0
12090,2861,2251,339,7,2808,2251,339,7
