"Header";"Name"
"HC02_EST_VC13_income";"Male; Estimate; $100,000 or more"
"HC02_MOE_VC13_income";"Male; Margin of Error; $100,000 or more"
"HC03_EST_VC13_income";"Female; Estimate; $100,000 or more"
"HC03_MOE_VC13_income";"Female; Margin of Error; $100,000 or more"
"HC01_EST_VC15_income";"Total; Estimate; Median earnings (dollars)"
"HC01_MOE_VC15_income";"Total; Margin of Error; Median earnings (dollars)"
"HC02_EST_VC15_income";"Male; Estimate; Median earnings (dollars)"
"HC02_MOE_VC15_income";"Male; Margin of Error; Median earnings (dollars)"
"HC03_EST_VC15_income";"Female; Estimate; Median earnings (dollars)"
"HC03_MOE_VC15_income";"Female; Margin of Error; Median earnings (dollars)"
"HC01_EST_VC16_income";"Total; Estimate; Mean earnings (dollars)"
"HC01_MOE_VC16_income";"Total; Margin of Error; Mean earnings (dollars)"
"HC02_EST_VC16_income";"Male; Estimate; Mean earnings (dollars)"
"HC02_MOE_VC16_income";"Male; Margin of Error; Mean earnings (dollars)"
"HC03_EST_VC16_income";"Female; Estimate; Mean earnings (dollars)"
"HC03_MOE_VC16_income";"Female; Margin of Error; Mean earnings (dollars)"
"HC01_EST_VC20_income";"Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings"
"HC01_MOE_VC20_income";"Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings"
"HC02_EST_VC20_income";"Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings"
"HC02_MOE_VC20_income";"Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings"
"HC03_EST_VC20_income";"Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings"
"HC03_MOE_VC20_income";"Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings"
"HC01_EST_VC21_income";"Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate"
"HC01_MOE_VC21_income";"Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate"
"HC02_EST_VC21_income";"Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate"
"HC02_MOE_VC21_income";"Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate"
"HC03_EST_VC21_income";"Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate"
"HC03_MOE_VC21_income";"Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate"
"HC01_EST_VC22_income";"Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)"
"HC01_MOE_VC22_income";"Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)"
"HC02_EST_VC22_income";"Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)"
"HC02_MOE_VC22_income";"Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)"
"HC03_EST_VC22_income";"Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)"
"HC03_MOE_VC22_income";"Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)"
"HC01_EST_VC23_income";"Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree"
"HC01_MOE_VC23_income";"Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree"
"HC02_EST_VC23_income";"Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree"
"HC02_MOE_VC23_income";"Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree"
"HC03_EST_VC23_income";"Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree"
"HC03_MOE_VC23_income";"Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree"
"HC01_EST_VC24_income";"Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree"
"HC01_MOE_VC24_income";"Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree"
"HC02_EST_VC24_income";"Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree"
"HC02_MOE_VC24_income";"Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree"
"HC03_EST_VC24_income";"Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree"
"HC03_MOE_VC24_income";"Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree"
"HC01_EST_VC25_income";"Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree"
"HC01_MOE_VC25_income";"Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree"
"HC02_EST_VC25_income";"Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree"
"HC02_MOE_VC25_income";"Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree"
"HC03_EST_VC25_income";"Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree"
"HC03_MOE_VC25_income";"Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree"
"HC01_EST_VC28_income";"Total; Estimate; PERCENT IMPUTED - Earnings in the past 12 months"
"HC01_MOE_VC28_income";"Total; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months"
"HC02_EST_VC28_income";"Male; Estimate; PERCENT IMPUTED - Earnings in the past 12 months"
"HC02_MOE_VC28_income";"Male; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months"
"HC03_EST_VC28_income";"Female; Estimate; PERCENT IMPUTED - Earnings in the past 12 months"
"HC03_MOE_VC28_income";"Female; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months"
"GEO.id_transit";"Id"
"GEO.id2_transit";"Id2"
"GEO.display-label_transit";"Geography"
"HC01_EST_VC01_transit";"Total; Estimate; Workers 16 years and over"
"HC01_MOE_VC01_transit";"Total; Margin of Error; Workers 16 years and over"
"HC02_EST_VC01_transit";"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over"
"HC02_MOE_VC01_transit";"Car, truck, or van -- drove alone; Margin of Error; Workers 16 years and over"
"HC03_EST_VC01_transit";"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over"
"HC03_MOE_VC01_transit";"Car, truck, or van -- carpooled; Margin of Error; Workers 16 years and over"
"HC04_EST_VC01_transit";"Public transportation (excluding taxicab); Estimate; Workers 16 years and over"
"HC04_MOE_VC01_transit";"Public transportation (excluding taxicab); Margin of Error; Workers 16 years and over"
"HC01_EST_VC03_transit";"Total; Estimate; AGE - 16 to 19 years"
"HC01_MOE_VC03_transit";"Total; Margin of Error; AGE - 16 to 19 years"
"HC02_EST_VC03_transit";"Car, truck, or van -- drove alone; Estimate; AGE - 16 to 19 years"
"HC02_MOE_VC03_transit";"Car, truck, or van -- drove alone; Margin of Error; AGE - 16 to 19 years"
"HC03_EST_VC03_transit";"Car, truck, or van -- carpooled; Estimate; AGE - 16 to 19 years"
"HC03_MOE_VC03_transit";"Car, truck, or van -- carpooled; Margin of Error; AGE - 16 to 19 years"
"HC04_EST_VC03_transit";"Public transportation (excluding taxicab); Estimate; AGE - 16 to 19 years"
"HC04_MOE_VC03_transit";"Public transportation (excluding taxicab); Margin of Error; AGE - 16 to 19 years"
"HC01_EST_VC04_transit";"Total; Estimate; AGE - 20 to 24 years"
"HC01_MOE_VC04_transit";"Total; Margin of Error; AGE - 20 to 24 years"
"HC02_EST_VC04_transit";"Car, truck, or van -- drove alone; Estimate; AGE - 20 to 24 years"
"HC02_MOE_VC04_transit";"Car, truck, or van -- drove alone; Margin of Error; AGE - 20 to 24 years"
"HC03_EST_VC04_transit";"Car, truck, or van -- carpooled; Estimate; AGE - 20 to 24 years"
"HC03_MOE_VC04_transit";"Car, truck, or van -- carpooled; Margin of Error; AGE - 20 to 24 years"
"HC04_EST_VC04_transit";"Public transportation (excluding taxicab); Estimate; AGE - 20 to 24 years"
"HC04_MOE_VC04_transit";"Public transportation (excluding taxicab); Margin of Error; AGE - 20 to 24 years"
"HC01_EST_VC05_transit";"Total; Estimate; AGE - 25 to 44 years"
"HC01_MOE_VC05_transit";"Total; Margin of Error; AGE - 25 to 44 years"
"HC02_EST_VC05_transit";"Car, truck, or van -- drove alone; Estimate; AGE - 25 to 44 years"
"HC02_MOE_VC05_transit";"Car, truck, or van -- drove alone; Margin of Error; AGE - 25 to 44 years"
"HC03_EST_VC05_transit";"Car, truck, or van -- carpooled; Estimate; AGE - 25 to 44 years"
"HC03_MOE_VC05_transit";"Car, truck, or van -- carpooled; Margin of Error; AGE - 25 to 44 years"
"HC04_EST_VC05_transit";"Public transportation (excluding taxicab); Estimate; AGE - 25 to 44 years"
"HC04_MOE_VC05_transit";"Public transportation (excluding taxicab); Margin of Error; AGE - 25 to 44 years"
"HC01_EST_VC06_transit";"Total; Estimate; AGE - 45 to 54 years"
"HC01_MOE_VC06_transit";"Total; Margin of Error; AGE - 45 to 54 years"
"HC02_EST_VC06_transit";"Car, truck, or van -- drove alone; Estimate; AGE - 45 to 54 years"
"HC02_MOE_VC06_transit";"Car, truck, or van -- drove alone; Margin of Error; AGE - 45 to 54 years"
"HC03_EST_VC06_transit";"Car, truck, or van -- carpooled; Estimate; AGE - 45 to 54 years"
"HC03_MOE_VC06_transit";"Car, truck, or van -- carpooled; Margin of Error; AGE - 45 to 54 years"
"HC04_EST_VC06_transit";"Public transportation (excluding taxicab); Estimate; AGE - 45 to 54 years"
"HC04_MOE_VC06_transit";"Public transportation (excluding taxicab); Margin of Error; AGE - 45 to 54 years"
"HC01_EST_VC07_transit";"Total; Estimate; AGE - 55 to 59 years"
"HC01_MOE_VC07_transit";"Total; Margin of Error; AGE - 55 to 59 years"
"HC02_EST_VC07_transit";"Car, truck, or van -- drove alone; Estimate; AGE - 55 to 59 years"
"HC02_MOE_VC07_transit";"Car, truck, or van -- drove alone; Margin of Error; AGE - 55 to 59 years"
"HC03_EST_VC07_transit";"Car, truck, or van -- carpooled; Estimate; AGE - 55 to 59 years"
"HC03_MOE_VC07_transit";"Car, truck, or van -- carpooled; Margin of Error; AGE - 55 to 59 years"
"HC04_EST_VC07_transit";"Public transportation (excluding taxicab); Estimate; AGE - 55 to 59 years"
"HC04_MOE_VC07_transit";"Public transportation (excluding taxicab); Margin of Error; AGE - 55 to 59 years"
"HC01_EST_VC08_transit";"Total; Estimate; AGE - 60 years and over"
"HC01_MOE_VC08_transit";"Total; Margin of Error; AGE - 60 years and over"
"HC02_EST_VC08_transit";"Car, truck, or van -- drove alone; Estimate; AGE - 60 years and over"
"HC02_MOE_VC08_transit";"Car, truck, or van -- drove alone; Margin of Error; AGE - 60 years and over"
"HC03_EST_VC08_transit";"Car, truck, or van -- carpooled; Estimate; AGE - 60 years and over"
"HC03_MOE_VC08_transit";"Car, truck, or van -- carpooled; Margin of Error; AGE - 60 years and over"
"HC04_EST_VC08_transit";"Public transportation (excluding taxicab); Estimate; AGE - 60 years and over"
"HC04_MOE_VC08_transit";"Public transportation (excluding taxicab); Margin of Error; AGE - 60 years and over"
"HC01_EST_VC10_transit";"Total; Estimate; Median age (years)"
"HC01_MOE_VC10_transit";"Total; Margin of Error; Median age (years)"
"HC02_EST_VC10_transit";"Car, truck, or van -- drove alone; Estimate; Median age (years)"
"HC02_MOE_VC10_transit";"Car, truck, or van -- drove alone; Margin of Error; Median age (years)"
"HC03_EST_VC10_transit";"Car, truck, or van -- carpooled; Estimate; Median age (years)"
"HC03_MOE_VC10_transit";"Car, truck, or van -- carpooled; Margin of Error; Median age (years)"
"HC04_EST_VC10_transit";"Public transportation (excluding taxicab); Estimate; Median age (years)"
"HC04_MOE_VC10_transit";"Public transportation (excluding taxicab); Margin of Error; Median age (years)"
"HC01_EST_VC13_transit";"Total; Estimate; SEX - Male"
"HC01_MOE_VC13_transit";"Total; Margin of Error; SEX - Male"
"HC02_EST_VC13_transit";"Car, truck, or van -- drove alone; Estimate; SEX - Male"
"HC02_MOE_VC13_transit";"Car, truck, or van -- drove alone; Margin of Error; SEX - Male"
"HC03_EST_VC13_transit";"Car, truck, or van -- carpooled; Estimate; SEX - Male"
"HC03_MOE_VC13_transit";"Car, truck, or van -- carpooled; Margin of Error; SEX - Male"
"HC04_EST_VC13_transit";"Public transportation (excluding taxicab); Estimate; SEX - Male"
"HC04_MOE_VC13_transit";"Public transportation (excluding taxicab); Margin of Error; SEX - Male"
"HC01_EST_VC14_transit";"Total; Estimate; SEX - Female"
"HC01_MOE_VC14_transit";"Total; Margin of Error; SEX - Female"
"HC02_EST_VC14_transit";"Car, truck, or van -- drove alone; Estimate; SEX - Female"
"HC02_MOE_VC14_transit";"Car, truck, or van -- drove alone; Margin of Error; SEX - Female"
"HC03_EST_VC14_transit";"Car, truck, or van -- carpooled; Estimate; SEX - Female"
"HC03_MOE_VC14_transit";"Car, truck, or van -- carpooled; Margin of Error; SEX - Female"
"HC04_EST_VC14_transit";"Public transportation (excluding taxicab); Estimate; SEX - Female"
"HC04_MOE_VC14_transit";"Public transportation (excluding taxicab); Margin of Error; SEX - Female"
"HC01_EST_VC17_transit";"Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race"
"HC01_MOE_VC17_transit";"Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race"
"HC02_EST_VC17_transit";"Car, truck, or van -- drove alone; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race"
"HC02_MOE_VC17_transit";"Car, truck, or van -- drove alone; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race"
"HC03_EST_VC17_transit";"Car, truck, or van -- carpooled; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race"
"HC03_MOE_VC17_transit";"Car, truck, or van -- carpooled; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race"
"HC04_EST_VC17_transit";"Public transportation (excluding taxicab); Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race"
"HC04_MOE_VC17_transit";"Public transportation (excluding taxicab); Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race"
"HC01_EST_VC18_transit";"Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White"
"HC01_MOE_VC18_transit";"Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - White"
"HC02_EST_VC18_transit";"Car, truck, or van -- drove alone; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White"
"HC02_MOE_VC18_transit";"Car, truck, or van -- drove alone; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - White"
"HC03_EST_VC18_transit";"Car, truck, or van -- carpooled; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White"
"HC03_MOE_VC18_transit";"Car, truck, or van -- carpooled; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - White"
"HC04_EST_VC18_transit";"Public transportation (excluding taxicab); Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White"
"HC04_MOE_VC18_transit";"Public transportation (excluding taxicab); Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - White"
"HC01_EST_VC19_transit";"Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American"
"HC01_MOE_VC19_transit";"Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American"
"HC02_EST_VC19_transit";"Car, truck, or van -- drove alone; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American"
"HC02_MOE_VC19_transit";"Car, truck, or van -- drove alone; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American"
"HC03_EST_VC19_transit";"Car, truck, or van -- carpooled; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American"
"HC03_MOE_VC19_transit";"Car, truck, or van -- carpooled; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American"
"HC04_EST_VC19_transit";"Public transportation (excluding taxicab); Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American"
"HC04_MOE_VC19_transit";"Public transportation (excluding taxicab); Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American"
"HC01_EST_VC20_transit";"Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native"
"HC01_MOE_VC20_transit";"Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native"
"HC02_EST_VC20_transit";"Car, truck, or van -- drove alone; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native"
"HC02_MOE_VC20_transit";"Car, truck, or van -- drove alone; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native"
"HC03_EST_VC20_transit";"Car, truck, or van -- carpooled; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native"
"HC03_MOE_VC20_transit";"Car, truck, or van -- carpooled; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native"
"HC04_EST_VC20_transit";"Public transportation (excluding taxicab); Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native"
"HC04_MOE_VC20_transit";"Public transportation (excluding taxicab); Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native"
"HC01_EST_VC21_transit";"Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian"
"HC01_MOE_VC21_transit";"Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian"
"HC02_EST_VC21_transit";"Car, truck, or van -- drove alone; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian"
"HC02_MOE_VC21_transit";"Car, truck, or van -- drove alone; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian"
"HC03_EST_VC21_transit";"Car, truck, or van -- carpooled; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian"
"HC03_MOE_VC21_transit";"Car, truck, or van -- carpooled; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian"
"HC04_EST_VC21_transit";"Public transportation (excluding taxicab); Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian"
"HC04_MOE_VC21_transit";"Public transportation (excluding taxicab); Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian"
"HC01_EST_VC22_transit";"Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander"
"HC01_MOE_VC22_transit";"Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander"
"HC02_EST_VC22_transit";"Car, truck, or van -- drove alone; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander"
"HC02_MOE_VC22_transit";"Car, truck, or van -- drove alone; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander"
"HC03_EST_VC22_transit";"Car, truck, or van -- carpooled; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander"
"HC03_MOE_VC22_transit";"Car, truck, or van -- carpooled; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander"
"HC04_EST_VC22_transit";"Public transportation (excluding taxicab); Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander"
"HC04_MOE_VC22_transit";"Public transportation (excluding taxicab); Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander"
"HC01_EST_VC23_transit";"Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race"
"HC01_MOE_VC23_transit";"Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race"
"HC02_EST_VC23_transit";"Car, truck, or van -- drove alone; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race"
"HC02_MOE_VC23_transit";"Car, truck, or van -- drove alone; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race"
"HC03_EST_VC23_transit";"Car, truck, or van -- carpooled; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race"
"HC03_MOE_VC23_transit";"Car, truck, or van -- carpooled; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race"
"HC04_EST_VC23_transit";"Public transportation (excluding taxicab); Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race"
"HC04_MOE_VC23_transit";"Public transportation (excluding taxicab); Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race"
"HC01_EST_VC24_transit";"Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races"
"HC01_MOE_VC24_transit";"Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races"
"HC02_EST_VC24_transit";"Car, truck, or van -- drove alone; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races"
"HC02_MOE_VC24_transit";"Car, truck, or van -- drove alone; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races"
"HC03_EST_VC24_transit";"Car, truck, or van -- carpooled; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races"
"HC03_MOE_VC24_transit";"Car, truck, or van -- carpooled; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races"
"HC04_EST_VC24_transit";"Public transportation (excluding taxicab); Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races"
